Linux 5.4.0-164-generic (node0.gp27-206541.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

01:42:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:42:46 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:47 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:48 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:49 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:50 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:51 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:52 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:53 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:54 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:55 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:56 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:57 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:58 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:42:59 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:00 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:01 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:02 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:03 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:04 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:05 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:06 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:07 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:08 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:09 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:10 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:11 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:12 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:13 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:14 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:15 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:16 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:17 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:18 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:19 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:20 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:21 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:22 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:23 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:24 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:25 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:26 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:27 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:28 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:29 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:30 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:31 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:32 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:33 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:34 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:35 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:36 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:37 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:38 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:39 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:40 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
01:43:41 PM     0       158    0.00    0.00    0.00    0.00    0.00    24  ksoftirqd/24
