Linux 5.15.0-86-generic (node0.gp27-206409.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

02:19:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:19:59 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:00 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:01 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:02 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:03 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:04 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:05 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:06 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:07 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:08 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:09 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:10 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:11 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:12 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:13 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:14 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:15 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:16 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:17 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:18 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:19 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:20 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:21 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:22 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:23 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:24 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:25 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:26 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:27 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:28 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:29 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:30 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:31 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:32 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:33 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:34 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:35 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:36 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:37 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:38 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:39 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:40 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:41 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:42 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:43 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:44 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:45 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:46 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:47 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:48 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:49 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
02:20:50 PM     0        96    0.00    0.00    0.00    0.00    0.00    13  ksoftirqd/13
