Linux 5.15.0-86-generic (node0.gp27-206409.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

08:37:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:37:15 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:16 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:17 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:18 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:19 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:20 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:21 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:22 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:23 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:24 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:25 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:26 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:27 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:28 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:29 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:30 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:31 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:32 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:33 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:34 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:35 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:36 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:37 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:38 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:39 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:40 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:41 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:42 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:43 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:44 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:45 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:46 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:47 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:48 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:49 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:50 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:51 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:52 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:53 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:54 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:55 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:56 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:57 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:58 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:37:59 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:00 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:01 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:02 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:03 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:04 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:05 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:06 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:07 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:08 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:09 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:10 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:11 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:12 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:13 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:14 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:15 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:16 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:17 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:18 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:19 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:20 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:21 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:22 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:23 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:24 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:25 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:26 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:27 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:28 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:29 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:30 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:31 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:32 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:33 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:34 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:35 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:36 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:37 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:38 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:39 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:40 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:41 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:42 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:43 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:44 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:45 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:46 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:47 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:48 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:49 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:50 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:51 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:52 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:53 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:54 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:55 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:56 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:57 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:58 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:38:59 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:39:00 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:39:01 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:39:02 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
08:39:03 PM     0       234    0.00    0.00    0.00    0.00    0.00    36  ksoftirqd/36
