Linux 5.4.0-164-generic (node0.gp27-206541.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

03:49:11 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:49:12 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:13 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:14 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:15 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:16 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:17 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:18 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22
03:49:19 PM     0       146    0.00    0.00    0.00    0.00    0.00    22  ksoftirqd/22

Average:        0       146    0.00    0.00    0.00    0.00    0.00     -  ksoftirqd/22
